AAPL,Apple Inc. Common Stock,$213.24,0.17,0.08%,3269839645680.00,United States,1980,63478626,Technology,Computer Manufacturing
ABNB,Airbnb Inc. Class A Common Stock,$146.395,-2.925,-1.959%,94284794297.00,United States,2020,3029400,Finance,Diversified Commercial Services
CMPR,Cimpress plc Ordinary Shares (Ireland),$84.72,-2.52,-2.889%,2156200841.00,Netherlands,2005,42792,Consumer Discretionary,Publishing
EGRX,Eagle Pharmaceuticals Inc. Common Stock,$3.835,0.165,4.496%,49805034.00,United States,2014,94530,Health Care,Biotechnology: Pharmaceutical Preparations
EPSN,Epsilon Energy Ltd. Common Share,$5.3859,-0.0241,-0.445%,118068892.00,United States,,10620,Energy,Oil & Gas Production
FBNC,First Bancorp Common Stock,$30.55,-0.28,-0.908%,1257749946.00,United States,1987,34643,Finance,Major Banks
GEG,Great Elm Group Inc. Common Stock,$1.82,0.03,1.676%,58013019.00,United States,,4515,Technology,Computer Software: Prepackaged Software
QLGN,Qualigen Therapeutics Inc. Common Stock,$0.2027,-0.0065,-3.107%,1278504.00,United States,2015,39744,Health Care,Biotechnology: Pharmaceutical Preparations
RIGL,Rigel Pharmaceuticals Inc. Common Stock,$0.9922,-0.0078,-0.78%,174037978.00,United States,2000,219007,Health Care,Biotechnology: Pharmaceutical Preparations
WLDSW,Wearable Devices Ltd. Warrant,$0.0505,-0.0035,-6.481%,1029565.00,Israel,2022,4400,Telecommunications,Computer Communications Equipment
ZYME,Zymeworks Inc. Common Stock,$9.16,-0.20,-2.137%,647656792.00,United States,,137658,Health Care,Biotechnology: Pharmaceutical Preparations
